,Constant,log_P(atm),log_Fuel(%),log_Oxidizer(%),T0/S_H__T,T0/T,training_adj_r2
683,-6.3511,-0.6272,0.7794,-1.5356,-2.1877,22.0619,0.9627
684,-6.1776,-0.6122,0.7753,-1.5374,-2.1563,21.8064,0.961
685,-6.2395,-0.6177,0.7812,-1.5494,-2.1942,21.9369,0.9631
686,-6.3002,-0.6144,0.8003,-1.5601,-2.1228,22.0481,0.9647
687,-6.3282,-0.6103,0.7826,-1.5204,-2.1574,21.9747,0.9622
688,-6.2356,-0.6153,0.7778,-1.5404,-2.1059,21.8915,0.963
689,-6.2542,-0.6244,0.7818,-1.5472,-2.2099,21.9636,0.9629
690,-6.2528,-0.6202,0.779,-1.5418,-2.2116,21.9366,0.9628
691,-6.2114,-0.6084,0.8053,-1.5477,-2.3231,21.9215,0.9622
692,-6.3583,-0.6271,0.786,-1.5544,-2.0512,22.1051,0.9614
693,-6.3094,-0.6267,0.7846,-1.5526,-2.0447,22.0343,0.9614
694,-6.2856,-0.6137,0.7852,-1.5443,-2.1318,21.9694,0.9637
695,-6.2473,-0.613,0.7813,-1.541,-2.0791,21.9045,0.9644
696,-6.2675,-0.613,0.7838,-1.5494,-2.1487,21.963,0.962
697,-6.4553,-0.6168,0.8133,-1.4984,-2.4924,22.1838,0.9576
698,-6.2424,-0.6101,0.7833,-1.5283,-2.1602,21.8728,0.9608
699,-6.3541,-0.5875,0.8061,-1.4818,-2.5453,21.975,0.955
700,-6.4985,-0.6024,0.8127,-1.5398,-2.2551,22.3015,0.971
701,-6.3045,-0.6217,0.7903,-1.5559,-2.0655,22.0386,0.9623
702,-6.2786,-0.622,0.7817,-1.5479,-2.0739,21.9689,0.9634
